order,priority,Status,originalFileName,mailkey,Mailing,testCell,Targeting,Test Description,Format,Paper,Cost,Quantity,inHomeDate,endDate,CPP
1,1,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - Manhattan A.csv,MANHATTAN A,Shared Mid October Cities,MANHATTAN,Cities,MANHATTAN,,,6000,200000,10/11/19,1/8/20,
1,2,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - Manhattan B.csv,MANHATTAN B,Shared Mid October Cities,MANHATTAN,Cities,MANHATTAN,,,6000,200000,10/11/19,1/8/20,
2,3,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - AUSTIN A.CSV,AUSTIN A,Shared Mid October Cities,AUSTIN,Cities,AUSTIN,,,6000,200000,10/11/19,1/8/20,
2,4,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - AUSTIN B.CSV,AUSTIN B,Shared Mid October Cities,AUSTIN,Cities,AUSTIN,,,6000,200000,10/11/19,1/8/20,
3,5,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - GR NYC CONNECTICUT.CSV,GR NYC CONNECTICUT,Shared Mid October Cities,GR NYC CONNECTICUT,Cities,GR NYC CONNECTICUT,,,4500,150000,10/11/19,1/8/20,
4,6,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - GREATER BOSTON A.CSV,GREATER BOSTON A,Shared Mid October Cities,GREATER BOSTON,Cities,GREATER BOSTON,,,6000,200000,10/11/19,1/8/20,
4,7,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - GREATER BOSTON B.CSV,GREATER BOSTON B,Shared Mid October Cities,GREATER BOSTON,Cities,GREATER BOSTON,,,6000,200000,10/11/19,1/8/20,
5,8,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - HOUSTON A.CSV,HOUSTON A,Shared Mid October Cities,HOUSTON,Cities,HOUSTON,,,6000,200000,10/11/19,1/8/20,
5,9,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - HOUSTON B.CSV,HOUSTON B,Shared Mid October Cities,HOUSTON,Cities,HOUSTON,,,6000,200000,10/11/19,1/8/20,
6,10,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - ILLINOIS.CSV,ILLINOIS,Shared Mid October Cities,ILLINOIS,Cities,ILLINOIS,,,4500,150000,10/11/19,1/8/20,
7,11,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - NEW ENGLAND A.CSV,NEW ENGLAND A,Shared Mid October Cities,NEW ENGLAND,Cities,NEW ENGLAND,,,6000,200000,10/11/19,1/8/20,
7,12,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - NEW ENGLAND B.CSV,NEW ENGLAND B,Shared Mid October Cities,NEW ENGLAND,Cities,NEW ENGLAND,,,6000,200000,10/11/19,1/8/20,
8,13,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - NORTHCENTRAL CALI A.CSV,NORTHCENTRAL CALI A,Shared Mid October Cities,NORTHCENTRAL CALI,Cities,NORTHCENTRAL CALI,,,6000,200000,10/11/19,1/8/20,
8,14,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - NORTHCENTRAL CALI B.CSV,NORTHCENTRAL CALI B,Shared Mid October Cities,NORTHCENTRAL CALI,Cities,NORTHCENTRAL CALI,,,6000,200000,10/11/19,1/8/20,
9,15,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - PACIFIC NW A.CSV,PACIFIC NW A,Shared Mid October Cities,PACIFIC NW,Cities,PACIFIC NW,,,6000,200000,10/11/19,1/8/20,
9,16,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - PACIFIC NW B.CSV,PACIFIC NW B,Shared Mid October Cities,PACIFIC NW,Cities,PACIFIC NW,,,6000,200000,10/11/19,1/8/20,
10,17,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - SOUTH CAROLINA.CSV,SOUTH CAROLINA,Shared Mid October Cities,SOUTH CAROLINA,Cities,SOUTH CAROLINA,,,3000,100000,10/11/19,1/8/20,
11,18,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - SOUTHERN CALI A.CSV,SOUTHERN CALI A,Shared Mid October Cities,SOUTHERN CALI,Cities,SOUTHERN CALI,,,6000,200000,10/11/19,1/8/20,
11,19,Mailed,2019-10-11 - SLMS026 SHARED EARLY OCT - SOUTHERN CALI B.CSV,SOUTHERN CALI B,Shared Mid October Cities,SOUTHERN CALI,Cities,SOUTHERN CALI,,,6000,200000,10/11/19,1/8/20,
12,1,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - BAY AREA 1 A.CSV,BAY AREA 1 A,Shared Late October Cities,EAST/NORTH BAY AREA,Cities,EAST/NORTH BAY AREA,,,6000,200000,10/23/19,1/20/20,
12,2,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - BAY AREA 1 B.CSV,BAY AREA 1 B,Shared Late October Cities,EAST/NORTH BAY AREA,Cities,EAST/NORTH BAY AREA,,,6000,200000,10/23/19,1/20/20,
13,3,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - BAY AREA 2.CSV,BAY AREA 2,Shared Late October Cities,SAN MATEO BAY AREA,Cities,SAN MATEO BAY AREA,,,3000,100000,10/23/19,1/20/20,
14,4,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - COLUMBUS.CSV,COLUMBUS,Shared Late October Cities,COLUMBUS,Cities,COLUMBUS,,,3000,100000,10/23/19,1/20/20,
15,5,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - DALLAS FT WORTH A.CSV,DALLAS FT WORTH A,Shared Late October Cities,DALLAS FT WORTH,Cities,DALLAS FT WORTH,,,6000,200000,10/23/19,1/20/20,
15,6,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - DALLAS FT WORTH B.CSV,DALLAS FT WORTH B,Shared Late October Cities,DALLAS FT WORTH,Cities,DALLAS FT WORTH,,,6000,200000,10/23/19,1/20/20,
16,7,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - GR DC MARYLAND A.CSV,GR DC MARYLAND A,Shared Late October Cities,GR DC MARYLAND,Cities,GR DC MARYLAND,,,6000,200000,10/23/19,1/20/20,
16,8,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - GR DC MARYLAND B.CSV,GR DC MARYLAND B,Shared Late October Cities,GR DC MARYLAND,Cities,GR DC MARYLAND,,,6000,200000,10/23/19,1/20/20,
17,9,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - GR NYC WESTCHESTER.CSV,GR NYC WESTCHESTER,Shared Late October Cities,GR NYC WESTCHESTER,Cities,GR NYC WESTCHESTER,,,3000,100000,10/23/19,1/20/20,
18,10,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - GREATER CHICAGO A.CSV,GREATER CHICAGO A,Shared Late October Cities,GREATER CHICAGO,Cities,GREATER CHICAGO,,,6000,200000,10/23/19,1/20/20,
18,11,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - GREATER CHICAGO B.CSV,GREATER CHICAGO B,Shared Late October Cities,GREATER CHICAGO,Cities,GREATER CHICAGO,,,6000,200000,10/23/19,1/20/20,
19,12,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - GREATER LA A.CSV,GREATER LA A,Shared Late October Cities,GREATER LA,Cities,GREATER LA,,,6000,200000,10/23/19,1/20/20,
19,13,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - GREATER LA B.CSV,GREATER LA B,Shared Late October Cities,GREATER LA,Cities,GREATER LA,,,6000,200000,10/23/19,1/20/20,
20,14,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - GREATER NYC LI.CSV,GREATER NYC LI,Shared Late October Cities,GREATER NYC LI,Cities,GREATER NYC LI,,,3000,100000,10/23/19,1/20/20,
21,15,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - GREATER NYC NJ A.CSV,GREATER NYC NJ A,Shared Late October Cities,GREATER NYC NJ,Cities,GREATER NYC NJ,,,6000,200000,10/23/19,1/20/20,
21,16,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - GREATER NYC NJ B.CSV,GREATER NYC NJ B,Shared Late October Cities,GREATER NYC NJ,Cities,GREATER NYC NJ,,,6000,200000,10/23/19,1/20/20,
22,17,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - MIAMI.CSV,MIAMI,Shared Late October Cities,MIAMI,Cities,MIAMI,,,3000,100000,10/23/19,1/20/20,
23,18,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - NASHVILLE.CSV,NASHVILLE,Shared Late October Cities,NASHVILLE,Cities,NASHVILLE,,,3000,100000,10/23/19,1/20/20,
24,19,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - PHILADELPHIA A.CSV,PHILADELPHIA A,Shared Late October Cities,PHILADELPHIA,Cities,PHILADELPHIA,,,6000,200000,10/23/19,1/20/20,
24,20,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - PHILADELPHIA B.CSV,PHILADELPHIA B,Shared Late October Cities,PHILADELPHIA,Cities,PHILADELPHIA,,,6000,200000,10/23/19,1/20/20,
25,21,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - PITTSBURGH.CSV,PITTSBURGH,Shared Late October Cities,PITTSBURGH,Cities,PITTSBURGH,,,3000,100000,10/23/19,1/20/20,
26,22,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - PORTLAND.CSV,PORTLAND,Shared Late October Cities,PORTLAND,Cities,PORTLAND,,,3000,100000,10/23/19,1/20/20,
27,23,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - QUEENS.CSV,QUEENS,Shared Late October Cities,QUEENS,Cities,QUEENS,,,3000,100000,10/23/19,1/20/20,
28,24,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - RALEIGH.CSV,RALEIGH,Shared Late October Cities,RALEIGH,Cities,RALEIGH,,,3000,100000,10/23/19,1/20/20,
29,25,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - SACRAMENTO.CSV,SACRAMENTO,Shared Late October Cities,SACRAMENTO,Cities,SACRAMENTO,,,3000,100000,10/23/19,1/20/20,
30,26,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - SALT LAKE CITY.CSV,SALT LAKE CITY,Shared Late October Cities,SALT LAKE CITY,Cities,SALT LAKE CITY,,,3000,100000,10/23/19,1/20/20,
31,27,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - SAN DIEGO.CSV,SAN DIEGO,Shared Late October Cities,SAN DIEGO,Cities,SAN DIEGO,,,3000,100000,10/23/19,1/20/20,
32,28,Mailed,2019-10-23 - SLMS027 SHARED LATE OCT - ST. LOUIS.CSV,ST. LOUIS,Shared Late October Cities,ST. LOUIS,Cities,ST. LOUIS,,,3000,100000,10/23/19,1/20/20,
33,1,Mailed,2019-11-12 - SLMS029 SHARED NOV 2019 - BOSTON A.CSV,BOSTON A,Shared Mid November Cities,BOSTON,Cities,BOSTON,,,6000,200000,11/12/19,2/9/20,
33,2,Mailed,2019-11-12 - SLMS029 SHARED NOV 2019 - BOSTON B.CSV,BOSTON B,Shared Mid November Cities,BOSTON,Cities,BOSTON,,,6000,200000,11/12/19,2/9/20,
34,3,Mailed,2019-11-12 - SLMS029 SHARED NOV 2019 - COLORADO A.CSV,COLORADO A,Shared Mid November Cities,COLORADO,Cities,COLORADO,,,6000,200000,11/12/19,2/9/20,
34,4,Mailed,2019-11-12 - SLMS029 SHARED NOV 2019 - COLORADO B.CSV,COLORADO B,Shared Mid November Cities,COLORADO,Cities,COLORADO,,,6000,200000,11/12/19,2/9/20,
35,5,Mailed,2019-11-12 - SLMS029 SHARED NOV 2019 - GREATER DALLAS A.CSV,GREATER DALLAS A,Shared Mid November Cities,GREATER DALLAS,Cities,GREATER DALLAS,,,6000,200000,11/12/19,2/9/20,
35,6,Mailed,2019-11-12 - SLMS029 SHARED NOV 2019 - GREATER DALLAS B.CSV,GREATER DALLAS B,Shared Mid November Cities,GREATER DALLAS,Cities,GREATER DALLAS,,,6000,200000,11/12/19,2/9/20,
36,7,Mailed,2019-11-12 - SLMS029 SHARED NOV 2019 - LA 1 A.CSV,LA 1 A,Shared Mid November Cities,LA 1,Cities,LA 1,,,6000,200000,11/12/19,2/9/20,
36,8,Mailed,2019-11-12 - SLMS029 SHARED NOV 2019 - LA 1 B.CSV,LA 1 B,Shared Mid November Cities,LA 1,Cities,LA 1,,,6000,200000,11/12/19,2/9/20,
37,9,Mailed,2019-11-12 - SLMS029 SHARED NOV 2019 - NEW ORLEANS.CSV,NEW ORLEANS,Shared Mid November Cities,NEW ORLEANS,Cities,NEW ORLEANS,,,3000,100000,11/12/19,2/9/20,
38,10,Mailed,2019-11-12 - SLMS029 SHARED NOV 2019 - OMAHA.CSV,OMAHA,Shared Mid November Cities,OMAHA,Cities,OMAHA,,,3000,100000,11/12/19,2/9/20,
39,11,Mailed,2019-11-12 - SLMS029 SHARED NOV 2019 - ORLANDO.CSV,ORLANDO,Shared Mid November Cities,ORLANDO,Cities,ORLANDO,,,3000,100000,11/12/19,2/9/20,
40,12,Mailed,2019-11-12 - SLMS029 SHARED NOV 2019 - TEXAS A.CSV,TEXAS A,Shared Mid November Cities,TEXAS,Cities,TEXAS,,,6000,200000,11/12/19,2/9/20,
40,13,Mailed,2019-11-12 - SLMS029 SHARED NOV 2019 - TEXAS B.CSV,TEXAS B,Shared Mid November Cities,TEXAS,Cities,TEXAS,,,6000,200000,11/12/19,2/9/20,
41,14,Mailed,2019-11-12 - SLMS029 SHARED NOV 2019 - WISCONSIN A.CSV,WISCONSIN A,Shared Mid November Cities,WISCONSIN,Cities,WISCONSIN,,,6000,200000,11/12/19,2/9/20,
41,15,Mailed,2019-11-12 - SLMS029 SHARED NOV 2019 - WISCONSIN B.CSV,WISCONSIN B,Shared Mid November Cities,WISCONSIN,Cities,WISCONSIN,,,6000,200000,11/12/19,2/9/20,
42,1,Mailed,2019-12-09 - SLMS031 SHARED - AUSTIN A.CSV,AUSTIN A,Shared December Cities,AUSTIN,Cities,AUSTIN,,,6000,200000,12/9/19,3/7/20,
42,2,Mailed,2019-12-09 - SLMS031 SHARED - AUSTIN B.CSV,AUSTIN B,Shared December Cities,AUSTIN,Cities,AUSTIN,,,6000,200000,12/9/19,3/7/20,
43,3,Mailed,2019-12-09 - SLMS031 SHARED - BALTIMORE.CSV,BALTIMORE,Shared December Cities,BALTIMORE,Cities,BALTIMORE,,,3000,100000,12/9/19,3/7/20,
44,4,Mailed,2019-12-09 - SLMS031 SHARED - BAY AREA 1 A.CSV,BAY AREA 1 A,Shared December Cities,EAST/NORTH BAY AREA,Cities,EAST/NORTH BAY AREA,,,6000,200000,12/9/19,3/7/20,
44,5,Mailed,2019-12-09 - SLMS031 SHARED - BAY AREA 1 B.CSV,BAY AREA 1 B,Shared December Cities,EAST/NORTH BAY AREA,Cities,EAST/NORTH BAY AREA,,,6000,200000,12/9/19,3/7/20,
45,6,Mailed,2019-12-09 - SLMS031 SHARED - BAY AREA 2.CSV,BAY AREA 2,Shared December Cities,SAN MATEO BAY AREA,Cities,SAN MATEO BAY AREA,,,3000,100000,12/9/19,3/7/20,
46,7,Mailed,2019-12-09 - SLMS031 SHARED - COLUMBUS.CSV,COLUMBUS,Shared December Cities,COLUMBUS,Cities,COLUMBUS,,,3000,100000,12/9/19,3/7/20,
51,8,Mailed,2019-12-09 - SLMS031 SHARED - DALLAS FT WORTH A.CSV,DALLAS FT WORTH A,Shared December Cities,DALLAS FT WORTH,Cities,DALLAS FT WORTH,,,6000,200000,12/9/19,3/7/20,
51,9,Mailed,2019-12-09 - SLMS031 SHARED - DALLAS FT WORTH B.CSV,DALLAS FT WORTH B,Shared December Cities,DALLAS FT WORTH,Cities,DALLAS FT WORTH,,,6000,200000,12/9/19,3/7/20,
52,10,Mailed,2019-12-09 - SLMS031 SHARED - DETROIT.CSV,DETROIT,Shared December Cities,DETROIT,Cities,DETROIT,,,3000,100000,12/9/19,3/7/20,
53,11,Mailed,2019-12-09 - SLMS031 SHARED - FORT LAUDERDALE.CSV,FORT LAUDERDALE,Shared December Cities,FORT LAUDERDALE,Cities,FORT LAUDERDALE,,,3000,100000,12/9/19,3/7/20,
54,12,Mailed,2019-12-09 - SLMS031 SHARED - GR NYC CONNECTICUT.CSV,GR NYC CONNECTICUT,Shared December Cities,GR NYC CONNECTICUT,Cities,GR NYC CONNECTICUT,,,4500,150000,12/9/19,3/7/20,
55,13,Mailed,2019-12-09 - SLMS031 SHARED - GR NYC WESTCHESTER.CSV,GR NYC WESTCHESTER,Shared December Cities,GR NYC WESTCHESTER,Cities,GR NYC WESTCHESTER,,,3000,100000,12/9/19,3/7/20,
56,14,Mailed,2019-12-09 - SLMS031 SHARED - GREATER CHICAGO A.CSV,GREATER CHICAGO A,Shared December Cities,GREATER CHICAGO,Cities,GREATER CHICAGO,,,6000,200000,12/9/19,3/7/20,
56,15,Mailed,2019-12-09 - SLMS031 SHARED - GREATER CHICAGO B.CSV,GREATER CHICAGO B,Shared December Cities,GREATER CHICAGO,Cities,GREATER CHICAGO,,,6000,200000,12/9/19,3/7/20,
57,16,Mailed,2019-12-09 - SLMS031 SHARED - GREATER LA A.CSV,GREATER LA A,Shared December Cities,GREATER LA,Cities,GREATER LA,,,6000,200000,12/9/19,3/7/20,
57,17,Mailed,2019-12-09 - SLMS031 SHARED - GREATER LA B.CSV,GREATER LA B,Shared December Cities,GREATER LA,Cities,GREATER LA,,,6000,200000,12/9/19,3/7/20,
58,18,Mailed,2019-12-09 - SLMS031 SHARED - GREATER LA OC A.CSV,GREATER LA OC A,Shared December Cities,GREATER LA OC,Cities,GREATER LA OC,,,6000,200000,12/9/19,3/7/20,
58,19,Mailed,2019-12-09 - SLMS031 SHARED - GREATER LA OC B.CSV,GREATER LA OC B,Shared December Cities,GREATER LA OC,Cities,GREATER LA OC,,,6000,200000,12/9/19,3/7/20,
59,20,Mailed,2019-12-09 - SLMS031 SHARED - GREATER NYC LI.CSV,GREATER NYC LI,Shared December Cities,GREATER NYC LI,Cities,GREATER NYC LI,,,3000,100000,12/9/19,3/7/20,
60,21,Mailed,2019-12-09 - SLMS031 SHARED - GREATER NYC NJ A.CSV,GREATER NYC NJ A,Shared December Cities,GREATER NYC NJ,Cities,GREATER NYC NJ,,,6000,200000,12/9/19,3/7/20,
60,22,Mailed,2019-12-09 - SLMS031 SHARED - GREATER NYC NJ B.CSV,GREATER NYC NJ B,Shared December Cities,GREATER NYC NJ,Cities,GREATER NYC NJ,,,6000,200000,12/9/19,3/7/20,
61,23,Mailed,2019-12-09 - SLMS031 SHARED - HOUSTON A.CSV,HOUSTON A,Shared December Cities,HOUSTON,Cities,HOUSTON,,,3000,100000,12/9/19,3/7/20,
61,24,Mailed,2019-12-09 - SLMS031 SHARED - HOUSTON B.CSV,HOUSTON B,Shared December Cities,HOUSTON,Cities,HOUSTON,,,3000,100000,12/9/19,3/7/20,
62,25,Mailed,2019-12-09 - SLMS031 SHARED - ILLINOIS.CSV,ILLINOIS,Shared December Cities,ILLINOIS,Cities,ILLINOIS,,,4500,150000,12/9/19,3/7/20,
63,26,Mailed,2019-12-09 - SLMS031 SHARED - INDIANAPOLIS.CSV,INDIANAPOLIS,Shared December Cities,INDIANAPOLIS,Cities,INDIANAPOLIS,,,3000,100000,12/9/19,3/7/20,
64,27,Mailed,2019-12-09 - SLMS031 SHARED - LA 1 A.CSV,LA 1 A,Shared December Cities,LA,Cities,LA,,,6000,400000,12/9/19,3/7/20,
64,28,Mailed,2019-12-09 - SLMS031 SHARED - LA 1 B.CSV,LA 1 B,Shared December Cities,LA,Cities,LA,,,6000,400000,12/9/19,3/7/20,
64,29,Mailed,2019-12-09 - SLMS031 SHARED - LA 2 A.CSV,LA 2 A,Shared December Cities,LA,Cities,LA,,,6000,400000,12/9/19,3/7/20,
64,30,Mailed,2019-12-09 - SLMS031 SHARED - LA 2 B.CSV,LA 2 B,Shared December Cities,LA,Cities,LA,,,6000,400000,12/9/19,3/7/20,
65,31,Mailed,2019-12-09 - SLMS031 SHARED - LOUISVILLE.CSV,LOUISVILLE,Shared December Cities,LOUISVILLE,Cities,LOUISVILLE,,,3000,100000,12/9/19,3/7/20,
66,32,Mailed,2019-12-09 - SLMS031 SHARED - MANHATTAN A.CSV,MANHATTAN A,Shared December Cities,MANHATTAN,Cities,MANHATTAN,,,6000,200000,12/9/19,3/7/20,
66,33,Mailed,2019-12-09 - SLMS031 SHARED - MANHATTAN B.CSV,MANHATTAN B,Shared December Cities,MANHATTAN,Cities,MANHATTAN,,,6000,200000,12/9/19,3/7/20,
67,34,Mailed,2019-12-09 - SLMS031 SHARED - MIAMI.CSV,MIAMI,Shared December Cities,MIAMI,Cities,MIAMI,,,3000,100000,12/9/19,3/7/20,
68,35,Mailed,2019-12-09 - SLMS031 SHARED - MILWAUKEE.CSV,MILWAUKEE,Shared December Cities,MILWAUKEE,Cities,MILWAUKEE,,,3000,100000,12/9/19,3/7/20,
69,36,Mailed,2019-12-09 - SLMS031 SHARED - NEW ENGLAND A.CSV,NEW ENGLAND A,Shared December Cities,NEW ENGLAND,Cities,NEW ENGLAND,,,6000,200000,12/9/19,3/7/20,
69,37,Mailed,2019-12-09 - SLMS031 SHARED - NEW ENGLAND B.CSV,NEW ENGLAND B,Shared December Cities,NEW ENGLAND,Cities,NEW ENGLAND,,,6000,200000,12/9/19,3/7/20,
70,38,Mailed,2019-12-09 - SLMS031 SHARED - NORTHCENTRAL CALI A.CSV,NORTHCENTRAL CALI A,Shared December Cities,NORTHCENTRAL CALI,Cities,NORTHCENTRAL CALI,,,6000,200000,12/9/19,3/7/20,
70,39,Mailed,2019-12-09 - SLMS031 SHARED - NORTHCENTRAL CALI B.CSV,NORTHCENTRAL CALI B,Shared December Cities,NORTHCENTRAL CALI,Cities,NORTHCENTRAL CALI,,,6000,200000,12/9/19,3/7/20,
71,40,Mailed,2019-12-09 - SLMS031 SHARED - PACIFIC NW A.CSV,PACIFIC NW A,Shared December Cities,PACIFIC NW,Cities,PACIFIC NW,,,6000,200000,12/9/19,3/7/20,
71,41,Mailed,2019-12-09 - SLMS031 SHARED - PACIFIC NW B.CSV,PACIFIC NW B,Shared December Cities,PACIFIC NW,Cities,PACIFIC NW,,,6000,200000,12/9/19,3/7/20,
72,42,Mailed,2019-12-09 - SLMS031 SHARED - PORTLAND.CSV,PORTLAND,Shared December Cities,PORTLAND,Cities,PORTLAND,,,3000,100000,12/9/19,3/7/20,
73,43,Mailed,2019-12-09 - SLMS031 SHARED - SILICON VALLEY A.CSV,SILICON VALLEY A,Shared December Cities,SILICON VALLEY,Cities,SILICON VALLEY,,,6000,200000,12/9/19,3/7/20,
73,44,Mailed,2019-12-09 - SLMS031 SHARED - SILICON VALLEY B.CSV,SILICON VALLEY B,Shared December Cities,SILICON VALLEY,Cities,SILICON VALLEY,,,6000,200000,12/9/19,3/7/20,
74,45,Mailed,2019-12-09 - SLMS031 SHARED - SOUTH CAROLINA.CSV,SOUTH CAROLINA,Shared December Cities,SOUTH CAROLINA,Cities,SOUTH CAROLINA,,,3000,100000,12/9/19,3/7/20,
75,46,Mailed,2019-12-09 - SLMS031 SHARED - SOUTHERN CALI A.CSV,SOUTHERN CALI A,Shared December Cities,SOUTHERN CALI,Cities,SOUTHERN CALI,,,6000,200000,12/9/19,3/7/20,
75,47,Mailed,2019-12-09 - SLMS031 SHARED - SOUTHERN CALI B.CSV,SOUTHERN CALI B,Shared December Cities,SOUTHERN CALI,Cities,SOUTHERN CALI,,,6000,200000,12/9/19,3/7/20,
76,48,Mailed,2019-12-09 - SLMS031 SHARED - UPSTATE NY.CSV,UPSTATE NY,Shared December Cities,UPSTATE NY,Cities,UPSTATE NY,,,3000,100000,12/9/19,3/7/20,
77,1,Mailed,2020-01-13 - SLM033 EARLY JAN 2020 - BROOKLYN.CSV,BROOKLYN,Shared Mid January Cities,BROOKLYN,Cities,BROOKLYN,,,4500,150000,1/13/20,4/11/20,
78,2,Mailed,2020-01-13 - SLM033 EARLY JAN 2020 - CHICAGO A.CSV,CHICAGO A,Shared Mid January Cities,CHICAGO,Cities,CHICAGO,,,6000,200000,1/13/20,4/11/20,
78,3,Mailed,2020-01-13 - SLM033 EARLY JAN 2020 - CHICAGO B.CSV,CHICAGO B,Shared Mid January Cities,CHICAGO,Cities,CHICAGO,,,6000,200000,1/13/20,4/11/20,
79,4,Mailed,2020-01-13 - SLM033 EARLY JAN 2020 - DC A.CSV,DC A,Shared Mid January Cities,DC,Cities,DC,,,6000,200000,1/13/20,4/11/20,
79,5,Mailed,2020-01-13 - SLM033 EARLY JAN 2020 - DC B.CSV,DC B,Shared Mid January Cities,DC,Cities,DC,,,6000,200000,1/13/20,4/11/20,
80,6,Mailed,2020-01-13 - SLM033 EARLY JAN 2020 - DENVER.CSV,DENVER,Shared Mid January Cities,DENVER,Cities,DENVER,,,3000,100000,1/13/20,4/11/20,
81,7,Mailed,2020-01-13 - SLM033 EARLY JAN 2020 - GREATER DALLAS A.CSV,GREATER DALLAS A,Shared Mid January Cities,GREATER DALLAS,Cities,GREATER DALLAS,,,6000,200000,1/13/20,4/11/20,
81,8,Mailed,2020-01-13 - SLM033 EARLY JAN 2020 - GREATER DALLAS B.CSV,GREATER DALLAS B,Shared Mid January Cities,GREATER DALLAS,Cities,GREATER DALLAS,,,6000,200000,1/13/20,4/11/20,
82,9,Mailed,2020-01-13 - SLM033 EARLY JAN 2020 - NASHVILLE.CSV,NASHVILLE,Shared Mid January Cities,NASHVILLE,Cities,NASHVILLE,,,3000,100000,1/13/20,4/11/20,
83,10,Mailed,2020-01-13 - SLM033 EARLY JAN 2020 - PHILADELPHIA.CSV,PHILADELPHIA,Shared Mid January Cities,PHILADELPHIA,Cities,PHILADELPHIA,,,3000,100000,1/13/20,4/11/20,
84,11,Mailed,2020-01-13 - SLM033 EARLY JAN 2020 - QUEENS.CSV,QUEENS,Shared Mid January Cities,QUEENS,Cities,QUEENS,,,3000,100000,1/13/20,4/11/20,
85,1,Mailed,2020-01-27 - SLMS034 LATE JAN 2020 - BOSTON A.CSV,BOSTON A,Shared Late January Cities,BOSTON,Cities,BOSTON,,,6000,200000,1/27/20,4/25/20,
85,2,Mailed,2020-01-27 - SLMS034 LATE JAN 2020 - BOSTON B.CSV,BOSTON B,Shared Late January Cities,BOSTON,Cities,BOSTON,,,6000,200000,1/27/20,4/25/20,
86,3,Mailed,2020-01-27 - SLMS034 LATE JAN 2020 - GR DC MARYLAND A.CSV,GR DC MARYLAND A,Shared Late January Cities,GR DC MARYLAND,Cities,GR DC MARYLAND,,,6000,200000,1/27/20,4/25/20,
86,4,Mailed,2020-01-27 - SLMS034 LATE JAN 2020 - GR DC MARYLAND B.CSV,GR DC MARYLAND B,Shared Late January Cities,GR DC MARYLAND,Cities,GR DC MARYLAND,,,6000,200000,1/27/20,4/25/20,
87,5,Mailed,2020-01-27 - SLMS034 LATE JAN 2020 - GR DC VIRGINIA A.CSV,GR DC VIRGINIA A,Shared Late January Cities,GR DC VIRGINIA,Cities,GR DC VIRGINIA,,,6000,200000,1/27/20,4/25/20,
87,6,Mailed,2020-01-27 - SLMS034 LATE JAN 2020 - GR DC VIRGINIA B.CSV,GR DC VIRGINIA B,Shared Late January Cities,GR DC VIRGINIA,Cities,GR DC VIRGINIA,,,6000,200000,1/27/20,4/25/20,
88,7,Mailed,2020-01-27 - SLMS034 LATE JAN 2020 - PITTSBURGH.CSV,PITTSBURGH,Shared Late January Cities,PITTSBURGH,Cities,PITTSBURGH,,,3000,100000,1/27/20,4/25/20,
